epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,10.9705,1.00957,1.97748,1.25176,1.32616,0,0.00384,0.55385,0.00301,0.00086,0.00048,0.08462,7e-05,2e-05,3.13427,26.7534,197.607,6.54477,0,0.000662474,0.000662474,0.000662474
2,21.1803,1.1452,1.97038,1.09137,1.38928,0,0.48918,0.36154,0.36364,0.14373,0.40289,0.53077,0.43647,0.23063,2.13795,2.60314,2.25781,2.44982,0,0.00130282,0.00130282,0.00130282
3,31.3031,1.14576,2.02272,1.05696,1.37735,0,0.67575,0.76154,0.75998,0.44663,0.67712,0.77692,0.77423,0.50544,1.39491,1.63672,1.40006,1.77842,0,0.00191677,0.00191677,0.00191677
4,41.3321,1.0913,1.94369,0.97278,1.35268,0,0.80562,0.79702,0.84273,0.53202,0.83036,0.80769,0.86196,0.58688,1.23045,1.71582,1.32061,1.80976,0,0.0018812,0.0018812,0.0018812
5,51.5879,0.9949,1.78707,0.87845,1.29059,0,0.87006,0.77264,0.86586,0.56986,0.87855,0.77902,0.87746,0.61948,1.17149,1.44691,0.93322,1.6522,0,0.0018416,0.0018416,0.0018416
6,61.5527,0.96015,1.71864,0.81464,1.27589,0,0.83893,0.86923,0.87097,0.55585,0.83893,0.86923,0.87676,0.6198,1.19326,1.3514,0.99925,1.65474,0,0.001802,0.001802,0.001802
7,71.3989,0.91099,1.64201,0.78309,1.23649,0,0.8474,0.85432,0.86123,0.58071,0.84298,0.82598,0.84469,0.59393,1.0629,1.53956,1.00324,1.55057,0,0.0017624,0.0017624,0.0017624
8,81.2151,0.89008,1.62154,0.76667,1.22163,0,0.81974,0.85385,0.849,0.60164,0.81164,0.84615,0.84628,0.65021,1.07009,1.21469,0.94136,1.55799,0,0.0017228,0.0017228,0.0017228
9,91.2366,0.87264,1.57204,0.75048,1.20604,0,0.88325,0.82308,0.86091,0.60301,0.89964,0.82743,0.8868,0.66963,0.97566,1.24678,0.87687,1.48187,0,0.0016832,0.0016832,0.0016832
10,101.332,0.81822,1.51622,0.69672,1.1841,0,0.89208,0.82308,0.90088,0.66452,0.86091,0.85706,0.89911,0.67801,0.90947,1.25593,0.73746,1.40059,0,0.0016436,0.0016436,0.0016436
11,111.95,0.82171,1.50631,0.67565,1.18011,0,0.91844,0.86629,0.92084,0.65741,0.91029,0.8586,0.92495,0.69166,0.92864,1.43656,0.71281,1.41157,0,0.001604,0.001604,0.001604
12,122.005,0.76717,1.40651,0.62197,1.14363,0,0.89716,0.88462,0.89758,0.62692,0.89716,0.88462,0.90282,0.68544,0.99673,1.23196,0.80828,1.47455,0,0.0015644,0.0015644,0.0015644
13,131.941,0.77622,1.43121,0.62585,1.139,0,0.84761,0.76923,0.84326,0.60135,0.84855,0.77578,0.85078,0.66697,1.02471,1.21838,0.81429,1.49822,0,0.0015248,0.0015248,0.0015248
14,141.862,0.77538,1.40556,0.64156,1.14175,0,0.89212,0.79231,0.8768,0.64118,0.89212,0.79231,0.86891,0.66098,0.99969,1.30748,0.77722,1.55528,0,0.0014852,0.0014852,0.0014852
15,152.021,0.73526,1.40951,0.60008,1.12516,0,0.92701,0.82308,0.90341,0.6997,0.90855,0.84063,0.92154,0.72648,0.8345,1.166,0.64486,1.36311,0,0.0014456,0.0014456,0.0014456
16,162.047,0.74338,1.37045,0.58782,1.13249,0,0.87334,0.84861,0.88782,0.64614,0.87334,0.84861,0.89663,0.69014,0.98726,1.19811,0.76484,1.46606,0,0.001406,0.001406,0.001406
17,171.971,0.72446,1.31036,0.61146,1.12941,0,0.89808,0.86154,0.91835,0.67997,0.8705,0.87905,0.91254,0.72248,0.89652,1.15561,0.66718,1.43419,0,0.0013664,0.0013664,0.0013664
18,181.897,0.72772,1.36755,0.60874,1.13742,0,0.94553,0.84615,0.92028,0.68628,0.94553,0.84615,0.91483,0.7115,0.88216,1.08145,0.63208,1.34076,0,0.0013268,0.0013268,0.0013268
19,191.812,0.69861,1.27486,0.56559,1.10779,0,0.9342,0.87365,0.94013,0.68657,0.93472,0.88462,0.92971,0.73216,0.88867,1.05483,0.60982,1.39695,0,0.0012872,0.0012872,0.0012872
20,201.75,0.69992,1.29865,0.5471,1.10938,0,0.88582,0.89514,0.92606,0.69246,0.89339,0.90246,0.93988,0.71276,0.88258,1.17523,0.60183,1.35587,0,0.0012476,0.0012476,0.0012476
21,211.712,0.70172,1.29322,0.565,1.10583,0,0.97371,0.85474,0.91738,0.7157,0.97378,0.85699,0.93314,0.73777,0.85576,1.13365,0.59908,1.34032,0,0.001208,0.001208,0.001208
22,223.518,0.66617,1.2655,0.52441,1.08076,0,0.90019,0.90191,0.933,0.71188,0.89257,0.89474,0.93545,0.73365,0.80541,1.17893,0.58881,1.3264,0,0.0011684,0.0011684,0.0011684
23,233.348,0.67069,1.27456,0.51861,1.08581,0,0.92054,0.8911,0.91137,0.73038,0.92054,0.8911,0.91316,0.73634,0.78865,1.11184,0.58062,1.3375,0,0.0011288,0.0011288,0.0011288
24,243.535,0.64534,1.21396,0.48968,1.07792,0,0.9555,0.84615,0.93884,0.73104,0.90825,0.87692,0.94256,0.7603,0.82091,1.09243,0.55066,1.27268,0,0.0010892,0.0010892,0.0010892
25,253.894,0.64175,1.22081,0.51142,1.08005,0,0.93037,0.85385,0.91572,0.70345,0.93722,0.85385,0.91563,0.72374,0.85103,1.04109,0.60303,1.37294,0,0.0010496,0.0010496,0.0010496
26,263.659,0.63342,1.17685,0.49741,1.0809,0,0.90216,0.87692,0.89142,0.71228,0.90577,0.8873,0.9042,0.7371,0.77555,1.07109,0.58764,1.30185,0,0.00101,0.00101,0.00101
27,273.596,0.62802,1.17585,0.48995,1.06231,0,0.94023,0.84615,0.94075,0.74633,0.86328,0.93077,0.95937,0.76714,0.74108,1.05207,0.52633,1.27392,0,0.0009704,0.0009704,0.0009704
28,283.573,0.60989,1.15251,0.47801,1.06463,0,0.90744,0.90497,0.94673,0.73925,0.91546,0.91627,0.95585,0.76227,0.75551,1.06228,0.51001,1.27016,0,0.0009308,0.0009308,0.0009308
29,294.931,0.61011,1.13289,0.46294,1.05297,0,0.91289,0.85385,0.92386,0.73949,0.88502,0.90769,0.92298,0.74545,0.7253,0.97471,0.52596,1.26759,0,0.0008912,0.0008912,0.0008912
30,304.833,0.5754,1.06961,0.43507,1.03588,0,0.90227,0.91538,0.92007,0.71828,0.90992,0.93243,0.94518,0.73778,0.81487,1.06914,0.51632,1.35493,0,0.0008516,0.0008516,0.0008516
31,314.75,0.59958,1.14543,0.46254,1.05745,0,0.94161,0.86839,0.92316,0.73424,0.90756,0.87692,0.91595,0.74958,0.76571,1.053,0.52048,1.29474,0,0.000812,0.000812,0.000812
32,324.678,0.57436,1.08408,0.43198,1.03976,0,0.90388,0.86801,0.91412,0.71173,0.89631,0.89231,0.92304,0.72727,0.81303,1.07612,0.51677,1.34767,0,0.0007724,0.0007724,0.0007724
33,334.562,0.58925,1.05482,0.43278,1.05121,0,0.91161,0.87266,0.91095,0.71698,0.9196,0.87985,0.92634,0.73691,0.78241,1.04447,0.54496,1.31561,0,0.0007328,0.0007328,0.0007328
34,344.622,0.56016,1.03922,0.4186,1.03506,0,0.93814,0.86154,0.93462,0.756,0.88991,0.90769,0.93188,0.75699,0.70962,1.0268,0.47096,1.28287,0,0.0006932,0.0006932,0.0006932
35,354.482,0.55877,1.05461,0.41767,1.03117,0,0.91433,0.88462,0.93276,0.72474,0.92646,0.9,0.94308,0.74026,0.7649,1.04373,0.47932,1.33458,0,0.0006536,0.0006536,0.0006536
36,364.347,0.55588,1.00117,0.42014,1.02293,0,0.91387,0.85385,0.91942,0.73833,0.92641,0.86923,0.93169,0.74981,0.71806,0.9662,0.5656,1.24694,0,0.000614,0.000614,0.000614
37,374.366,0.55204,1.03371,0.41441,1.02735,0,0.90352,0.89231,0.90473,0.72654,0.91401,0.9,0.90812,0.7443,0.74689,1.03844,0.5341,1.28298,0,0.0005744,0.0005744,0.0005744
38,384.211,0.53669,1.03791,0.40894,1.0104,0,0.91785,0.94535,0.95909,0.75683,0.91785,0.94535,0.95585,0.7739,0.69031,0.99667,0.43385,1.27481,0,0.0005348,0.0005348,0.0005348
39,394.815,0.53303,0.96129,0.40259,1.01467,0,0.89049,0.90769,0.92501,0.73148,0.90792,0.92308,0.93251,0.74899,0.75754,1.08174,0.48377,1.29541,0,0.0004952,0.0004952,0.0004952
40,404.655,0.52103,0.99887,0.40021,1.02014,0,0.93967,0.88462,0.93394,0.76177,0.95216,0.9,0.94283,0.7613,0.6902,0.99072,0.40961,1.25591,0,0.0004556,0.0004556,0.0004556
41,415.023,0.43086,0.79619,0.31788,1.00627,0,0.9498,0.89231,0.93562,0.76392,0.93008,0.9,0.9366,0.76632,0.68607,1.00274,0.41982,1.241,0,0.000416,0.000416,0.000416
