epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,9.00503,0.92375,1.9509,1.61815,1.24415,0,0.85774,0.70769,0.83798,0.49644,0.84983,0.70769,0.83516,0.54748,1.18556,2.00462,2.21201,1.70203,0,0.000662474,0.000662474,0.000662474
2,15.6482,0.97867,1.69702,1.17041,1.25377,0,0.71319,0.77692,0.7428,0.44868,0.698,0.76154,0.71036,0.43727,1.23594,2.45667,1.48147,1.7184,0,0.00130282,0.00130282,0.00130282
3,21.781,0.98708,1.70339,1.03113,1.25892,0,0.65338,0.72501,0.72148,0.44458,0.69198,0.72583,0.74488,0.52283,1.26925,1.48602,1.52687,1.74216,0,0.00191677,0.00191677,0.00191677
4,27.8182,0.96736,1.69873,0.94059,1.25844,0,0.77638,0.78462,0.82019,0.5364,0.76877,0.77692,0.82246,0.6163,1.17497,1.3821,1.32978,1.61512,0,0.0018812,0.0018812,0.0018812
5,33.7599,0.90626,1.57674,0.81845,1.21315,0,0.84218,0.83846,0.88674,0.58661,0.8434,0.82859,0.86485,0.59599,1.12114,1.59203,1.00313,1.54074,0,0.0018416,0.0018416,0.0018416
6,39.9728,0.89805,1.55435,0.78848,1.21026,0,0.85437,0.85746,0.89929,0.55503,0.85437,0.85746,0.90433,0.65306,1.20292,1.30692,1.03999,1.6391,0,0.001802,0.001802,0.001802
7,45.9701,0.84435,1.50372,0.75013,1.18515,0,0.90241,0.85356,0.91565,0.63509,0.89437,0.84674,0.91551,0.67077,1.00756,1.40234,0.8485,1.54089,0,0.0017624,0.0017624,0.0017624
8,51.7755,0.84961,1.48341,0.72154,1.18113,0,0.86622,0.8,0.87291,0.5921,0.86622,0.8,0.87024,0.65453,1.1467,1.34547,0.92763,1.58337,0,0.0017228,0.0017228,0.0017228
9,57.7157,0.82634,1.46311,0.70608,1.16413,0,0.86419,0.78318,0.87146,0.61179,0.88114,0.79835,0.89173,0.66423,1.05249,1.14273,0.86503,1.53707,0,0.0016832,0.0016832,0.0016832
10,63.6019,0.79855,1.44355,0.678,1.15202,0,0.87365,0.851,0.90975,0.62225,0.897,0.83077,0.89865,0.68491,1.07376,1.29628,0.79154,1.54367,0,0.0016436,0.0016436,0.0016436
11,69.4324,0.80386,1.40136,0.6612,1.15873,0,0.86964,0.86154,0.89407,0.66553,0.86476,0.87692,0.90402,0.71717,0.98559,1.15199,0.72524,1.42401,0,0.001604,0.001604,0.001604
12,75.641,0.75796,1.31163,0.5981,1.10998,0,0.8487,0.86923,0.89804,0.64184,0.85892,0.86923,0.89294,0.66124,0.93621,1.34154,0.79586,1.41333,0,0.0015644,0.0015644,0.0015644
13,81.6819,0.7506,1.36277,0.62207,1.11607,0,0.93907,0.82989,0.9055,0.65416,0.93907,0.82989,0.90494,0.68028,0.99095,1.33661,0.73242,1.44537,0,0.0015248,0.0015248,0.0015248
14,87.6904,0.76775,1.33067,0.62063,1.12926,0,0.90308,0.84615,0.90937,0.66356,0.87444,0.85716,0.87754,0.66891,0.97179,1.40244,0.68492,1.46773,0,0.0014852,0.0014852,0.0014852
15,93.6246,0.73969,1.3607,0.5938,1.11502,0,0.92721,0.80769,0.88181,0.63518,0.89682,0.80769,0.88078,0.68714,1.02263,1.3295,0.72499,1.54388,0,0.0014456,0.0014456,0.0014456
16,99.4628,0.72695,1.30746,0.57627,1.11164,0,0.91922,0.79231,0.86551,0.63138,0.91532,0.79231,0.86974,0.65624,1.01562,1.32512,0.81046,1.50946,0,0.001406,0.001406,0.001406
17,105.443,0.7213,1.29583,0.61411,1.1087,0,0.92721,0.88188,0.93997,0.68299,0.9353,0.88957,0.94511,0.74079,0.9163,1.14559,0.63888,1.39631,0,0.0013664,0.0013664,0.0013664
18,111.409,0.7293,1.29451,0.59859,1.11321,0,0.89333,0.80769,0.87929,0.62633,0.91167,0.82308,0.90576,0.70335,1.01786,1.10727,0.7429,1.44995,0,0.0013268,0.0013268,0.0013268
19,117.413,0.71803,1.23226,0.57617,1.09929,0,0.9213,0.83077,0.92109,0.67334,0.86356,0.87692,0.91998,0.71923,0.88638,1.11243,0.67316,1.43674,0,0.0012872,0.0012872,0.0012872
20,123.389,0.68489,1.2413,0.53731,1.08587,0,0.91763,0.85385,0.91245,0.68112,0.92695,0.87692,0.9277,0.72429,0.89463,1.19039,0.66438,1.38845,0,0.0012476,0.0012476,0.0012476
21,129.285,0.69904,1.23487,0.55382,1.08415,0,0.91651,0.85385,0.90115,0.67223,0.926,0.86627,0.9139,0.72115,0.88305,1.06789,0.63488,1.36928,0,0.001208,0.001208,0.001208
22,135.217,0.66719,1.21001,0.52663,1.06541,0,0.87672,0.84615,0.92076,0.66948,0.87672,0.84615,0.9083,0.71504,0.92115,1.13956,0.65173,1.43263,0,0.0011684,0.0011684,0.0011684
23,141.374,0.65547,1.21732,0.51739,1.06328,0,0.95414,0.84615,0.90332,0.68014,0.9401,0.84615,0.895,0.7308,0.87161,1.08762,0.68143,1.4328,0,0.0011288,0.0011288,0.0011288
24,147.448,0.65407,1.15731,0.50069,1.06266,0,0.93393,0.87692,0.91494,0.69812,0.92981,0.87692,0.92105,0.75138,0.85966,1.04476,0.62138,1.34629,0,0.0010892,0.0010892,0.0010892
25,153.506,0.64132,1.17357,0.51275,1.06567,0,0.87121,0.83254,0.88316,0.67285,0.86657,0.86923,0.89614,0.7143,0.89821,1.0896,0.63726,1.39156,0,0.0010496,0.0010496,0.0010496
26,159.556,0.63936,1.15535,0.50134,1.05635,0,0.93297,0.82308,0.912,0.67918,0.94169,0.83077,0.91831,0.72331,0.89077,1.09698,0.62842,1.39589,0,0.00101,0.00101,0.00101
27,165.436,0.62548,1.13308,0.49012,1.04642,0,0.90783,0.83345,0.8923,0.66581,0.92451,0.84782,0.90719,0.70283,0.84192,1.0153,0.64786,1.3649,0,0.0009704,0.0009704,0.0009704
28,171.482,0.62619,1.12135,0.47543,1.05001,0,0.93592,0.89878,0.932,0.70654,0.92791,0.89109,0.92239,0.73547,0.81132,1.06446,0.61706,1.31144,0,0.0009308,0.0009308,0.0009308
29,177.58,0.62457,1.11738,0.47184,1.04628,0,0.90345,0.86373,0.91951,0.69663,0.89131,0.9,0.93323,0.73447,0.82814,1.0562,0.593,1.33519,0,0.0008912,0.0008912,0.0008912
30,183.339,0.6034,1.07152,0.46234,1.03847,0,0.88708,0.86154,0.86778,0.59639,0.87916,0.85385,0.85377,0.62203,1.02942,1.35387,0.7301,1.56534,0,0.0008516,0.0008516,0.0008516
31,188.959,0.61283,1.10887,0.46374,1.0458,0,0.91872,0.86946,0.91529,0.7068,0.91424,0.90769,0.92575,0.75194,0.84822,1.01535,0.56561,1.37402,0,0.000812,0.000812,0.000812
32,194.996,0.59274,1.0654,0.451,1.03251,0,0.89821,0.86923,0.89442,0.68047,0.89118,0.88462,0.90085,0.71928,0.83748,1.11869,0.59541,1.38467,0,0.0007724,0.0007724,0.0007724
33,200.969,0.6052,1.07228,0.44529,1.04416,0,0.92842,0.89794,0.92139,0.71437,0.89478,0.91576,0.9238,0.75277,0.83344,0.98682,0.56864,1.34943,0,0.0007328,0.0007328,0.0007328
34,206.853,0.57919,1.02122,0.43302,1.0289,0,0.90227,0.88462,0.90918,0.71608,0.91011,0.89231,0.9087,0.74327,0.80512,1.05317,0.56732,1.37796,0,0.0006932,0.0006932,0.0006932
35,212.626,0.58243,1.01913,0.43423,1.02677,0,0.92583,0.88462,0.9045,0.69284,0.92583,0.88462,0.90063,0.73849,0.86743,1.03031,0.59324,1.436,0,0.0006536,0.0006536,0.0006536
36,218.362,0.57453,1.00172,0.42932,1.01724,0,0.93516,0.8875,0.91518,0.71264,0.93595,0.8992,0.91929,0.74483,0.79345,1.0143,0.54029,1.35604,0,0.000614,0.000614,0.000614
37,224.212,0.57252,1.0179,0.43083,1.02022,0,0.92451,0.84783,0.89194,0.69393,0.94128,0.86322,0.90295,0.74047,0.78455,1.06743,0.61399,1.32784,0,0.0005744,0.0005744,0.0005744
38,230.168,0.5574,1.01786,0.42205,1.00902,0,0.89984,0.89842,0.92723,0.73005,0.91525,0.91381,0.93704,0.76821,0.79972,1.01372,0.5617,1.32889,0,0.0005348,0.0005348,0.0005348
39,236.002,0.55119,0.98752,0.41773,1.0133,0,0.92405,0.86923,0.89882,0.69435,0.92025,0.90769,0.91901,0.74395,0.84243,1.0685,0.5558,1.37611,0,0.0004952,0.0004952,0.0004952
40,241.688,0.54083,0.98801,0.41477,1.01303,0,0.91042,0.87692,0.91309,0.72073,0.91841,0.88462,0.92249,0.76177,0.78527,1.08091,0.55236,1.33863,0,0.0004556,0.0004556,0.0004556
41,248.046,0.45651,0.80693,0.35083,1.01651,0,0.9271,0.86154,0.91337,0.70425,0.92107,0.89764,0.93052,0.73986,0.83756,1.09047,0.52962,1.39156,0,0.000416,0.000416,0.000416
42,253.824,0.4514,0.793,0.32378,1.00846,0,0.94535,0.83846,0.90155,0.71693,0.92708,0.89231,0.92986,0.74588,0.82243,1.02577,0.56409,1.36271,0,0.0003764,0.0003764,0.0003764
43,259.87,0.4345,0.74401,0.32083,0.99623,0,0.9281,0.89363,0.91279,0.71368,0.94482,0.92197,0.92713,0.74112,0.82947,1.0908,0.52911,1.3996,0,0.0003368,0.0003368,0.0003368
44,265.893,0.44097,0.77834,0.31181,1.00356,0,0.94788,0.88462,0.92324,0.72605,0.9248,0.9,0.92823,0.7609,0.78149,0.98083,0.51658,1.31891,0,0.0002972,0.0002972,0.0002972
45,271.91,0.42054,0.72414,0.30582,0.97284,0,0.91582,0.88462,0.90463,0.703,0.90745,0.90504,0.91778,0.74536,0.82093,1.0382,0.51545,1.37357,0,0.0002576,0.0002576,0.0002576
46,277.803,0.40183,0.70689,0.29212,0.9698,0,0.88795,0.91538,0.92291,0.73508,0.92784,0.89022,0.93131,0.77108,0.76559,1.02953,0.50367,1.31366,0,0.000218,0.000218,0.000218
47,283.821,0.4094,0.72654,0.30858,0.97831,0,0.91707,0.87692,0.91738,0.73181,0.92812,0.89392,0.92739,0.7703,0.76114,1.00194,0.49288,1.3177,0,0.0001784,0.0001784,0.0001784
48,289.745,0.39223,0.67009,0.28738,0.96892,0,0.90081,0.91538,0.92153,0.73167,0.90389,0.91538,0.92085,0.76577,0.7794,1.00678,0.48434,1.33743,0,0.0001388,0.0001388,0.0001388
49,295.666,0.37442,0.68015,0.27092,0.96162,0,0.90406,0.86923,0.90924,0.73071,0.91219,0.87904,0.9119,0.76465,0.77364,1.016,0.47529,1.34139,0,9.92e-05,9.92e-05,9.92e-05
50,301.607,0.37813,0.68624,0.27793,0.95616,0,0.93622,0.86923,0.90991,0.72644,0.94211,0.87627,0.91383,0.75522,0.78831,1.01673,0.4871,1.33952,0,5.96e-05,5.96e-05,5.96e-05
