epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,8.03392,0.96121,1.96203,1.49594,1.27041,0,0.07499,0.71902,0.06866,0.03794,0.07414,0.76154,0.06317,0.03065,1.39803,4.96402,27.3321,1.97017,0,0.000662474,0.000662474,0.000662474
2,15.1663,1.07885,1.84304,1.04829,1.32511,0,0.49013,0.63846,0.50051,0.30265,0.48789,0.66154,0.49232,0.32495,1.30661,2.57906,2.67289,1.74756,0,0.00130282,0.00130282,0.00130282
3,22.2082,1.09152,1.85199,0.96609,1.31734,0,0.67561,0.76154,0.72997,0.43731,0.68976,0.78672,0.75249,0.50473,1.33015,1.52377,1.28148,1.82306,0,0.00191677,0.00191677,0.00191677
4,29.2444,1.06513,1.81274,0.93695,1.30629,0,0.83744,0.7,0.78468,0.46901,0.75498,0.78219,0.78848,0.54363,1.41137,1.70557,1.17571,1.81305,0,0.0018812,0.0018812,0.0018812
5,36.2608,0.97282,1.67527,0.82637,1.25128,0,0.87925,0.84017,0.90569,0.59598,0.87969,0.84372,0.90296,0.64863,1.17762,1.56594,0.96128,1.59373,0,0.0018416,0.0018416,0.0018416
6,43.4772,0.90772,1.62383,0.76285,1.21447,0,0.9221,0.83077,0.90894,0.60952,0.92659,0.83846,0.92256,0.68595,1.12113,1.34758,0.81975,1.52439,0,0.001802,0.001802,0.001802
7,50.4879,0.88279,1.5804,0.73171,1.20359,0,0.88936,0.85385,0.8897,0.60307,0.87814,0.83846,0.88329,0.64482,1.03706,1.38064,0.8551,1.47513,0,0.0017624,0.0017624,0.0017624
8,57.3892,0.86577,1.5262,0.71078,1.19159,0,0.779,0.73846,0.77204,0.47057,0.7719,0.75385,0.79707,0.50968,1.3177,1.51938,1.23896,1.86106,0,0.0017228,0.0017228,0.0017228
9,64.3985,0.86456,1.50798,0.70377,1.17671,0,0.87692,0.86154,0.90498,0.63233,0.92063,0.83077,0.91429,0.68291,1.00713,1.1885,0.75479,1.43163,0,0.0016832,0.0016832,0.0016832
10,71.5013,0.79905,1.47356,0.65857,1.14984,0,0.81834,0.76234,0.82766,0.57425,0.8322,0.76154,0.83259,0.63003,1.1194,1.27429,1.02733,1.53461,0,0.0016436,0.0016436,0.0016436
