epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,34.3352,1.77239,2.90577,1.28126,0.52322,0.46435,0.44526,0.16771,1.73688,3.03114,1.83591,0.00055435,0.00055435,0.00055435
2,56.9574,1.79302,1.99702,1.32613,0.53926,0.52715,0.5401,0.22687,1.93528,2.58489,2.02571,0.00108804,0.00108804,0.00108804
3,78.6486,1.78221,1.76155,1.33973,0.61598,0.53468,0.58448,0.27434,1.78797,2.12759,1.86023,0.00159972,0.00159972,0.00159972
4,99.9175,1.78141,1.63936,1.3257,0.66873,0.5978,0.6491,0.3228,1.70697,1.92584,1.75279,0.00156798,0.00156798,0.00156798
5,121.4,1.72765,1.54237,1.3183,0.71061,0.61549,0.68892,0.34305,1.64674,1.77647,1.73597,0.00153497,0.00153497,0.00153497
6,142.992,1.71894,1.48939,1.30798,0.72083,0.64176,0.71556,0.3595,1.6877,1.79404,1.80047,0.00150197,0.00150197,0.00150197
7,164.369,1.69154,1.39638,1.29015,0.74746,0.6681,0.74718,0.38564,1.58698,1.59238,1.65532,0.00146896,0.00146896,0.00146896
8,185.929,1.67519,1.38447,1.28606,0.74656,0.66753,0.75331,0.3801,1.55492,1.63012,1.63155,0.00143595,0.00143595,0.00143595
9,207.976,1.65986,1.32928,1.27906,0.76909,0.6923,0.7811,0.40893,1.53671,1.4676,1.61072,0.00140295,0.00140295,0.00140295
10,229.561,1.65078,1.30495,1.27012,0.77456,0.68772,0.77422,0.40183,1.53045,1.44069,1.59742,0.00136994,0.00136994,0.00136994
11,250.81,1.63371,1.26651,1.26465,0.78939,0.6786,0.78164,0.41468,1.47021,1.46405,1.56932,0.00133693,0.00133693,0.00133693
12,272.418,1.63007,1.26565,1.26697,0.78564,0.6969,0.78838,0.41485,1.56285,1.46788,1.659,0.00130393,0.00130393,0.00130393
13,293.735,1.60581,1.2271,1.25325,0.79826,0.70777,0.79966,0.4317,1.46501,1.36828,1.5623,0.00127092,0.00127092,0.00127092
14,315.669,1.59932,1.21637,1.25107,0.81218,0.73418,0.82439,0.449,1.48669,1.2503,1.57162,0.00123791,0.00123791,0.00123791
15,337.076,1.5871,1.17202,1.24527,0.80888,0.72878,0.82494,0.44643,1.46213,1.27901,1.58104,0.00120491,0.00120491,0.00120491
16,358.724,1.57337,1.15115,1.24108,0.80862,0.73692,0.82785,0.45952,1.42016,1.22473,1.50805,0.0011719,0.0011719,0.0011719
17,380.024,1.57225,1.15433,1.24161,0.81706,0.73335,0.83189,0.4562,1.44397,1.22578,1.52969,0.00113889,0.00113889,0.00113889
18,401.788,1.56394,1.12787,1.23191,0.80327,0.74695,0.82963,0.46215,1.43507,1.21851,1.52028,0.00110589,0.00110589,0.00110589
19,423.229,1.55741,1.12095,1.23093,0.82131,0.74841,0.84055,0.47021,1.4006,1.16673,1.50594,0.00107288,0.00107288,0.00107288
20,444.636,1.54906,1.10629,1.22538,0.81518,0.75307,0.84266,0.4631,1.37951,1.16727,1.47558,0.00103987,0.00103987,0.00103987
21,466.172,1.54226,1.07992,1.22067,0.82843,0.74242,0.84429,0.47044,1.37403,1.19223,1.46707,0.00100687,0.00100687,0.00100687
22,488.204,1.54182,1.06771,1.21661,0.8294,0.75631,0.83935,0.47042,1.38548,1.15662,1.49909,0.000973861,0.000973861,0.000973861
23,509.556,1.52788,1.05675,1.21501,0.81854,0.76186,0.8487,0.4741,1.37027,1.11614,1.49943,0.000940855,0.000940855,0.000940855
24,531.142,1.50991,1.05102,1.20853,0.83012,0.77231,0.85839,0.48481,1.34124,1.06793,1.45346,0.000907848,0.000907848,0.000907848
25,552.618,1.5163,1.04024,1.20653,0.83501,0.77082,0.86341,0.49276,1.31665,1.04303,1.4352,0.000874842,0.000874842,0.000874842
