epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.5992,1.77115,1.88178,1.39535,0.59544,0.55958,0.53864,0.24231,1.79846,2.48729,1.93542,0.00055435,0.00055435,0.00055435
2,35.7949,1.72326,1.48229,1.39255,0.73009,0.60984,0.68467,0.28538,1.88015,2.05008,1.98936,0.00108804,0.00108804,0.00108804
3,51.2093,1.70475,1.3894,1.39025,0.71967,0.5852,0.67402,0.28449,1.96824,1.92457,2.00587,0.00159972,0.00159972,0.00159972
4,66.6674,1.68375,1.30985,1.36821,0.74762,0.64298,0.7157,0.32954,1.7509,1.77852,1.82556,0.00156798,0.00156798,0.00156798
5,82.0858,1.63324,1.24117,1.34859,0.77788,0.68159,0.76483,0.38248,1.62667,1.67053,1.73641,0.00153497,0.00153497,0.00153497
6,97.5112,1.62051,1.21119,1.34095,0.75462,0.66702,0.74367,0.37216,1.63259,1.70696,1.76475,0.00150197,0.00150197,0.00150197
7,112.737,1.58295,1.14808,1.31084,0.80054,0.70553,0.80261,0.41625,1.5428,1.43899,1.64616,0.00146896,0.00146896,0.00146896
8,127.964,1.57857,1.13743,1.30775,0.82215,0.73084,0.81902,0.42458,1.53133,1.36606,1.62055,0.00143595,0.00143595,0.00143595
9,143.197,1.54936,1.1036,1.29272,0.81781,0.73574,0.82171,0.43518,1.50476,1.38096,1.64187,0.00140295,0.00140295,0.00140295
10,158.32,1.5402,1.08876,1.29006,0.80334,0.72703,0.81257,0.41565,1.56838,1.36815,1.65497,0.00136994,0.00136994,0.00136994
11,173.617,1.52349,1.06005,1.27459,0.8331,0.73036,0.82441,0.42737,1.51991,1.33695,1.60405,0.00133693,0.00133693,0.00133693
12,188.895,1.51749,1.05882,1.27844,0.84672,0.73085,0.83148,0.44182,1.49391,1.27039,1.5909,0.00130393,0.00130393,0.00130393
13,204.311,1.49765,1.03335,1.26125,0.83327,0.72354,0.82716,0.45195,1.44339,1.38125,1.59452,0.00127092,0.00127092,0.00127092
14,219.48,1.48525,1.02167,1.25799,0.84759,0.75469,0.85069,0.45446,1.46597,1.20516,1.56919,0.00123791,0.00123791,0.00123791
15,234.535,1.47646,0.99191,1.25102,0.84726,0.74915,0.83977,0.45471,1.46079,1.22135,1.58634,0.00120491,0.00120491,0.00120491
16,249.747,1.46518,0.98189,1.24556,0.85246,0.76366,0.8556,0.46816,1.42639,1.14613,1.55283,0.0011719,0.0011719,0.0011719
17,264.865,1.45731,0.98028,1.24312,0.83313,0.75089,0.84363,0.44934,1.4776,1.21854,1.56194,0.00113889,0.00113889,0.00113889
18,279.864,1.44636,0.96299,1.23366,0.83754,0.76637,0.85014,0.46701,1.41708,1.15869,1.5477,0.00110589,0.00110589,0.00110589
19,295.236,1.44811,0.96125,1.23531,0.84249,0.77086,0.85099,0.47853,1.3839,1.19561,1.51863,0.00107288,0.00107288,0.00107288
20,310.707,1.43522,0.94537,1.22677,0.85491,0.7805,0.86919,0.48333,1.38205,1.07549,1.5046,0.00103987,0.00103987,0.00103987
21,326.101,1.42626,0.92701,1.22151,0.85479,0.78098,0.86905,0.49165,1.33971,1.06552,1.4708,0.00100687,0.00100687,0.00100687
22,341.394,1.4202,0.92053,1.21671,0.84794,0.782,0.85972,0.48827,1.34955,1.11639,1.47683,0.000973861,0.000973861,0.000973861
23,356.549,1.41152,0.90984,1.21055,0.85296,0.78205,0.8645,0.48804,1.33733,1.06778,1.4873,0.000940855,0.000940855,0.000940855
24,371.668,1.39928,0.90679,1.20924,0.8503,0.79099,0.87498,0.49026,1.33395,1.02733,1.46427,0.000907848,0.000907848,0.000907848
25,386.508,1.39943,0.89756,1.20499,0.86405,0.78399,0.87337,0.49601,1.29759,1.03663,1.43973,0.000874842,0.000874842,0.000874842
26,401.659,1.38474,0.88238,1.19941,0.85065,0.802,0.87139,0.50076,1.327,0.99783,1.48077,0.000841835,0.000841835,0.000841835
27,416.947,1.38789,0.88545,1.20735,0.86382,0.7902,0.87741,0.50619,1.28053,1.01682,1.43359,0.000808828,0.000808828,0.000808828
28,432.157,1.37839,0.86845,1.19548,0.86046,0.78707,0.87547,0.50407,1.2807,1.00614,1.42058,0.000775822,0.000775822,0.000775822
29,447.379,1.37577,0.86594,1.19373,0.86851,0.79344,0.8826,0.51128,1.26427,0.97637,1.41735,0.000742815,0.000742815,0.000742815
30,462.729,1.37917,0.86245,1.19159,0.85932,0.79937,0.87694,0.50297,1.28116,0.97322,1.4016,0.000709809,0.000709809,0.000709809
31,477.934,1.36319,0.85189,1.18627,0.8671,0.79914,0.88257,0.50574,1.26957,0.9598,1.39209,0.000676802,0.000676802,0.000676802
32,493.103,1.34991,0.84251,1.18379,0.85429,0.81073,0.88495,0.51392,1.24044,0.97281,1.388,0.000643795,0.000643795,0.000643795
33,508.381,1.34374,0.83407,1.17977,0.86979,0.79892,0.88145,0.51147,1.27297,0.95971,1.40233,0.000610789,0.000610789,0.000610789
34,523.461,1.33888,0.82758,1.17538,0.85325,0.81813,0.89052,0.5124,1.25389,0.91855,1.3902,0.000577782,0.000577782,0.000577782
35,538.651,1.3374,0.82495,1.17324,0.87727,0.80308,0.89176,0.5245,1.23464,0.91038,1.38302,0.000544776,0.000544776,0.000544776
36,554.012,1.33375,0.82004,1.16971,0.8779,0.8049,0.8927,0.5249,1.2359,0.88378,1.37771,0.000511769,0.000511769,0.000511769
37,569.083,1.32235,0.81053,1.16479,0.86919,0.81408,0.89425,0.52668,1.19843,0.8766,1.35464,0.000478762,0.000478762,0.000478762
38,584.228,1.32229,0.81287,1.1634,0.86859,0.8198,0.89595,0.52563,1.21423,0.87399,1.35923,0.000445756,0.000445756,0.000445756
39,599.331,1.31559,0.79645,1.16022,0.8652,0.81876,0.89427,0.52629,1.20341,0.85695,1.35721,0.000412749,0.000412749,0.000412749
40,614.583,1.30967,0.79383,1.15746,0.87165,0.81528,0.89766,0.52481,1.20045,0.86458,1.34562,0.000379743,0.000379743,0.000379743
41,629.954,1.30991,0.70646,1.16023,0.86985,0.81161,0.89455,0.52835,1.2062,0.8592,1.36516,0.000346736,0.000346736,0.000346736
42,644.803,1.29607,0.69328,1.15235,0.87333,0.81648,0.89835,0.53154,1.2007,0.84578,1.34431,0.000313729,0.000313729,0.000313729
43,659.61,1.28114,0.6818,1.14494,0.87954,0.82262,0.9019,0.53402,1.18208,0.82179,1.3371,0.000280723,0.000280723,0.000280723
44,674.408,1.27638,0.67961,1.14618,0.8781,0.81802,0.90143,0.53772,1.16403,0.81295,1.32866,0.000247716,0.000247716,0.000247716
45,689.239,1.27172,0.67082,1.14001,0.88059,0.8199,0.9012,0.53695,1.16167,0.8165,1.32078,0.00021471,0.00021471,0.00021471
46,704.031,1.26335,0.66332,1.13408,0.87948,0.82079,0.90045,0.54091,1.16134,0.81421,1.31872,0.000181703,0.000181703,0.000181703
47,718.928,1.25353,0.65823,1.13377,0.8761,0.82449,0.90218,0.54071,1.15722,0.79562,1.31711,0.000148696,0.000148696,0.000148696
48,733.82,1.24775,0.65301,1.1276,0.88255,0.82704,0.9046,0.54124,1.15231,0.79029,1.30926,0.00011569,0.00011569,0.00011569
49,748.515,1.24876,0.65124,1.12632,0.88418,0.82059,0.90474,0.54364,1.14361,0.77995,1.30362,8.26832e-05,8.26832e-05,8.26832e-05
50,763.342,1.23997,0.64667,1.12919,0.87568,0.82753,0.90553,0.54383,1.14309,0.7851,1.30172,4.96766e-05,4.96766e-05,4.96766e-05
