epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.7796,1.7288,1.50777,1.39208,0.68711,0.61381,0.67198,0.27576,2.00157,1.80622,1.978,0.00055435,0.00055435,0.00055435
2,43.7784,1.69975,1.3211,1.39534,0.73659,0.62634,0.70511,0.33223,1.91997,2.02602,2.07541,0.00108804,0.00108804,0.00108804
3,64.2471,1.67785,1.27685,1.38451,0.78006,0.63525,0.74067,0.35524,1.82056,1.78967,1.90168,0.00159972,0.00159972,0.00159972
4,84.2829,1.6431,1.20428,1.35465,0.7734,0.68403,0.72914,0.33743,1.8076,1.7865,1.88831,0.00156798,0.00156798,0.00156798
5,104.362,1.58407,1.14319,1.33023,0.77948,0.69929,0.76504,0.37672,1.70312,1.64121,1.8081,0.00153497,0.00153497,0.00153497
6,124.458,1.56736,1.10975,1.31996,0.8162,0.69957,0.7948,0.4039,1.57276,1.51147,1.71567,0.00150197,0.00150197,0.00150197
7,144.589,1.52691,1.05101,1.28951,0.80018,0.71584,0.80924,0.42381,1.59313,1.51146,1.74104,0.00146896,0.00146896,0.00146896
8,164.471,1.51713,1.03933,1.2874,0.82141,0.71815,0.82345,0.44672,1.50881,1.4593,1.63582,0.00143595,0.00143595,0.00143595
9,184.546,1.48817,1.00213,1.26898,0.83487,0.75386,0.83679,0.44551,1.52972,1.29177,1.661,0.00140295,0.00140295,0.00140295
10,204.5,1.47046,0.97995,1.2612,0.83788,0.74572,0.83222,0.44241,1.51664,1.25985,1.6191,0.00136994,0.00136994,0.00136994
11,224.732,1.45698,0.96225,1.25262,0.83241,0.74994,0.8354,0.4319,1.51655,1.28676,1.61361,0.00133693,0.00133693,0.00133693
12,244.564,1.44222,0.94867,1.24698,0.84361,0.77474,0.85064,0.46931,1.47784,1.19003,1.59798,0.00130393,0.00130393,0.00130393
13,264.628,1.4201,0.92672,1.23165,0.85117,0.77533,0.85626,0.47627,1.42064,1.18971,1.57129,0.00127092,0.00127092,0.00127092
14,284.62,1.41897,0.91788,1.23192,0.84966,0.78063,0.86586,0.49248,1.35055,1.1257,1.53445,0.00123791,0.00123791,0.00123791
15,304.787,1.39797,0.88793,1.21703,0.86085,0.78824,0.87154,0.49316,1.38038,1.12375,1.54049,0.00120491,0.00120491,0.00120491
16,325.022,1.38812,0.88037,1.21429,0.8573,0.78104,0.86944,0.495,1.36693,1.12198,1.52486,0.0011719,0.0011719,0.0011719
17,345.055,1.37685,0.87799,1.21033,0.84098,0.77252,0.86227,0.48095,1.42157,1.1591,1.53681,0.00113889,0.00113889,0.00113889
18,364.915,1.36136,0.85792,1.19919,0.86824,0.77765,0.8788,0.50354,1.35829,1.06526,1.49804,0.00110589,0.00110589,0.00110589
19,385.136,1.35681,0.85442,1.1981,0.86506,0.78596,0.88166,0.50424,1.32297,1.09583,1.45629,0.00107288,0.00107288,0.00107288
20,405.161,1.34671,0.83551,1.19228,0.86137,0.79603,0.88282,0.50335,1.35197,1.05585,1.49728,0.00103987,0.00103987,0.00103987
21,425.09,1.3349,0.82535,1.1864,0.84899,0.80951,0.88283,0.51508,1.27912,1.05228,1.43732,0.00100687,0.00100687,0.00100687
22,444.939,1.33283,0.81205,1.17955,0.86155,0.80398,0.88035,0.50765,1.28686,1.00762,1.44549,0.000973861,0.000973861,0.000973861
23,464.828,1.31527,0.80019,1.17074,0.86892,0.80788,0.88869,0.52342,1.23596,0.97861,1.40482,0.000940855,0.000940855,0.000940855
24,484.921,1.30185,0.79725,1.17041,0.86451,0.80879,0.8918,0.52053,1.24944,0.97152,1.4136,0.000907848,0.000907848,0.000907848
25,504.89,1.29803,0.78598,1.16534,0.87009,0.79827,0.88666,0.51597,1.23194,0.99013,1.39981,0.000874842,0.000874842,0.000874842
26,524.963,1.28363,0.77774,1.15785,0.87326,0.80927,0.89256,0.52724,1.24119,0.95393,1.4171,0.000841835,0.000841835,0.000841835
27,545.123,1.28513,0.77799,1.1643,0.87352,0.81872,0.90021,0.53247,1.23601,0.89906,1.40911,0.000808828,0.000808828,0.000808828
28,565.242,1.2745,0.75677,1.15286,0.87198,0.81269,0.892,0.52879,1.20839,0.91893,1.3881,0.000775822,0.000775822,0.000775822
29,585.132,1.27195,0.7505,1.15021,0.87257,0.82843,0.90015,0.54431,1.18423,0.86818,1.3663,0.000742815,0.000742815,0.000742815
30,605.233,1.27298,0.74863,1.14762,0.87694,0.82472,0.89736,0.53864,1.18165,0.88042,1.37063,0.000709809,0.000709809,0.000709809
31,625.188,1.25505,0.73797,1.14102,0.8844,0.82261,0.90102,0.53792,1.17434,0.87357,1.35497,0.000676802,0.000676802,0.000676802
32,645.074,1.24013,0.7283,1.13749,0.88248,0.82688,0.90429,0.54368,1.15735,0.86739,1.33503,0.000643795,0.000643795,0.000643795
33,665.031,1.23044,0.71659,1.13278,0.88004,0.81928,0.89808,0.53726,1.18096,0.86257,1.35883,0.000610789,0.000610789,0.000610789
34,684.863,1.22638,0.71205,1.12794,0.88467,0.82802,0.90367,0.53777,1.17578,0.83947,1.34757,0.000577782,0.000577782,0.000577782
35,705.152,1.22098,0.71134,1.12706,0.87877,0.83051,0.90478,0.54707,1.16773,0.83009,1.35003,0.000544776,0.000544776,0.000544776
36,725.225,1.21151,0.69998,1.12102,0.88375,0.83559,0.90592,0.55106,1.15268,0.79245,1.33333,0.000511769,0.000511769,0.000511769
37,744.869,1.20616,0.69274,1.11749,0.88696,0.83406,0.90951,0.55163,1.14555,0.78493,1.32643,0.000478762,0.000478762,0.000478762
