epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,54.6005,1.73104,1.46449,1.49265,0.41985,0.52481,0.37553,0.16067,2.03209,4.5063,2.28831,0.00055435,0.00055435,0.00055435
2,106.254,1.74851,1.3586,1.52751,0.69461,0.59877,0.65359,0.31348,1.83748,2.60749,2.05247,0.00108804,0.00108804,0.00108804
3,156.671,1.6993,1.30187,1.49327,0.75398,0.58762,0.68445,0.33283,1.86111,2.15975,2.05644,0.00159972,0.00159972,0.00159972
4,206.715,1.64932,1.20209,1.45554,0.73962,0.65807,0.70374,0.34266,1.71412,1.98329,1.93409,0.00156798,0.00156798,0.00156798
5,256.184,1.57668,1.12615,1.42031,0.78918,0.69481,0.7639,0.38332,1.77639,1.78643,1.9965,0.00153497,0.00153497,0.00153497
6,305.755,1.55366,1.08468,1.40606,0.81332,0.70824,0.79478,0.41605,1.59124,1.62514,1.84785,0.00150197,0.00150197,0.00150197
7,356.257,1.51459,1.02572,1.375,0.81894,0.72615,0.81566,0.43089,1.61617,1.53548,1.84422,0.00146896,0.00146896,0.00146896
8,405.848,1.50461,1.00971,1.36871,0.81196,0.71171,0.81772,0.43763,1.55907,1.5987,1.79237,0.00143595,0.00143595,0.00143595
9,455.781,1.46581,0.96898,1.34732,0.84594,0.74393,0.83775,0.45186,1.53202,1.43614,1.73772,0.00140295,0.00140295,0.00140295
10,505.588,1.45143,0.95077,1.3432,0.83281,0.75197,0.83531,0.44997,1.51116,1.40623,1.71239,0.00136994,0.00136994,0.00136994
11,554.963,1.42653,0.92103,1.32199,0.82402,0.7651,0.83733,0.45799,1.4481,1.42303,1.69188,0.00133693,0.00133693,0.00133693
12,605.077,1.41381,0.91642,1.32152,0.82497,0.76089,0.83778,0.4614,1.4063,1.29998,1.65662,0.00130393,0.00130393,0.00130393
13,654.714,1.39298,0.88661,1.30323,0.8509,0.78147,0.86291,0.48891,1.37211,1.2548,1.63237,0.00127092,0.00127092,0.00127092
14,704.701,1.38923,0.87764,1.30531,0.85995,0.78033,0.87073,0.49353,1.41699,1.19764,1.6446,0.00123791,0.00123791,0.00123791
15,754.223,1.36316,0.84746,1.28817,0.85788,0.79113,0.87358,0.49584,1.37053,1.17254,1.6165,0.00120491,0.00120491,0.00120491
16,803.86,1.35176,0.83657,1.28053,0.85686,0.78966,0.87781,0.50841,1.28955,1.14283,1.55027,0.0011719,0.0011719,0.0011719
17,853.834,1.33932,0.83396,1.27629,0.86052,0.78541,0.87415,0.50569,1.33612,1.14966,1.57837,0.00113889,0.00113889,0.00113889
18,903.374,1.32473,0.81307,1.26736,0.85922,0.79107,0.87815,0.50453,1.30857,1.10996,1.56274,0.00110589,0.00110589,0.00110589
19,953.005,1.32161,0.80663,1.26074,0.86887,0.78781,0.87864,0.51438,1.25918,1.10719,1.51417,0.00107288,0.00107288,0.00107288
20,1002.57,1.30522,0.78825,1.25326,0.85332,0.81903,0.88769,0.51864,1.26216,1.04775,1.52034,0.00103987,0.00103987,0.00103987
21,1052.1,1.29239,0.77748,1.24584,0.86526,0.80853,0.89018,0.52287,1.24894,1.06734,1.51341,0.00100687,0.00100687,0.00100687
